name,category,sku,sale_price,cost_price,stock_qty,reorder_level,image_url,tags,legacy_id
Broiler Chicken Quarter,CoTR Kitchen,COT-BROCHI-0021,300.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/p.jpeg,main dish,22767
Burst Black Currant 300ml,CoTR Bar,COT-BURBLA-0022,50.0,29.0,35.0,10.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Burst-Black-Currant-.jpg,soda,22769
Burst Black Currant 330ml (Can),CoTR Bar,COT-BURBLA-0023,80.0,48.0,7.0,10.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Burst-Black-Currant-.jpg,soda,22770
Burst Cola 300ml,CoTR Bar,COT-BURCOL-0024,50.0,29.0,38.0,10.0,,soda,22771
Burst Cola 330ml (Can),CoTR Bar,COT-BURCOL-0025,80.0,48.0,13.0,10.0,,soda,22772
Burst Lime 300ml,CoTR Bar,COT-BURLIM-0026,50.0,29.0,47.0,10.0,,soda,22773
Burst Lime 330ml (Can),CoTR Bar,COT-BURLIM-0027,80.0,48.0,0.0,10.0,,soda,22774
Burst Orange 300ml,CoTR Bar,COT-BURORA-0028,50.0,29.0,0.0,10.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Burst-Orange-300ml-e1748897724106.jpg,soda,22775
Burst Orange 330ml (Can),CoTR Bar,COT-BURORA-0029,80.0,48.0,9.0,10.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Burst-Orange-300ml-e1748897724106.jpg,soda,22776
Cabbage,CoTR Kitchen,COT-CAB-0030,50.0,30.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Cabbage.jpg,vegetables,22777
Caprice Dry Red Wine 1l,CoTR Bar,COT-CAPDRY-0031,1500.0,915.0,2.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Caprice-Dry-Red-Wine-1-Litre.jpg,red wine,22779
Caprice Dry White Wine 1l,CoTR Bar,COT-CAPDRY-0032,1500.0,915.0,2.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/CAPRICE-DRY-WHITE-1-1.jpg,white wine,22780
Caprice Sweet Red Wine 1l,CoTR Bar,COT-CAPSWE-0033,1500.0,915.0,2.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Caprice-Sweet-Red-1l.webp,red wine,22781
Caprice Sweet White Wine 1l,CoTR Bar,COT-CAPSWE-0034,1500.0,915.0,2.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Caprice-Sweet-White-1l.jpg,white wine,22782
Captain Morgan 250ml,CoTR Bar,COT-CAPMOR-0035,500.0,345.0,2.0,4.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Captain-Morgan-Gold-250ml.jpg,rum,22783
Captain Morgan 750ml,CoTR Bar,COT-CAPMOR-0036,1600.0,960.0,1.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Captain-Morgan-750ml.jpg,rum,22784
Cellar Cask Red Wine (Glass),CoTR Bar,COT-CELCAS-0037,250.0,188.0,0.0,5.0,,red wine,22785
Cellar Cask Red Wine 750ml,CoTR Bar,COT-CELCAS-0038,1500.0,1000.0,2.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/download-4.webp,red wine,22786
Cellar cask White Wine (Glass),CoTR Bar,COT-CELCAS-0039,250.0,188.0,0.0,5.0,,white wine,22787
Cellar cask White Wine 750ml,CoTR Bar,COT-CELCAS-0040,1500.0,1000.0,3.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/OIP-2.jpeg,white wine,22788
Chapati,CoTR Kitchen,COT-CHA-0041,60.0,0.0,40.75,10.0,,,22789
Chicken Pizza (l),CoTR Kitchen,COT-CHIPIZ-0042,0.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Chicken-Pizza-1.webp,pizza,22791
Chicken Pizza (s),CoTR Kitchen,COT-CHIPIZ-0043,0.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Chicken-Pizza.webp,pizza,22793
Chicken Platter,CoTR Kitchen,COT-CHIPLA-0044,0.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/ch.jpeg,main dish,22795
Chips,CoTR Kitchen,COT-CHI-0045,200.0,125.0,24.5,8.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Fries.jpg,side dish,22797
chips masala,CoTR Kitchen,COT-CHIMAS-0046,300.0,0.0,0.0,5.0,,,22799
chocolate,CoTR Kitchen,COT-CHO-0047,30.0,0.0,0.0,5.0,,,22802
Chrome Gin 250ml,CoTR Bar,COT-CHRGIN-0048,300.0,218.0,4.0,4.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Chrome-Gin-250ml.jpg,gin,22804
Chrome Gin 750ml,CoTR Bar,COT-CHRGIN-0049,1000.0,640.0,3.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Chrome-Gin-750ml.jpg,gin,22805
Chrome Vodka 250ml,CoTR Bar,COT-CHRVOD-0050,300.0,218.0,4.0,4.0,,,22806
Chrome Vodka 750ml,CoTR Bar,COT-CHRVOD-0051,1000.0,630.0,4.0,2.0,"https://pos.cotr.co.ke/wp-content/uploads/2025/06/OIP-8.webp, https://pos.cotr.co.ke/wp-content/uploads/2025/06/OIP-8.webp",,22807
CLK GumBalls,CoTR Bar,COT-CLKGUM-0052,15.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/CLK-GumBalls.jpg,,22808
Coca-Cola 300ml,CoTR Bar,COT-COC300-0053,100.0,32.5,7.0,15.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Coca-Cola.jpg,soda,22809
Cooking  rice,CoTR Kitchen,COT-COORIC-0054,200.0,0.0,0.0,5.0,,,22810
Cooking Charge (general),CoTR Kitchen,COT-COOCHA-0055,1000.0,0.0,0.0,5.0,,,22812
Cooking charges (Full Goat),CoTR Kitchen,COT-COOCHA-0056,3500.0,0.0,0.0,5.0,,,22814
Cooking chicken,CoTR Kitchen,COT-COOCHI-0057,400.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/download-6.webp,,22816
Cooking Goat Meat 1kg,CoTR Kitchen,COT-COOGOA-0058,3000.0,0.0,0.0,5.0,,,22818
Cooking Greens,CoTR Kitchen,COT-COOGRE-0059,500.0,0.0,0.0,5.0,,,22819
Cooking Pilau,CoTR Kitchen,COT-COOPIL-0060,400.0,0.0,0.0,5.0,,,22821
Cooking rice,CoTR Bar,COT-COORIC-0061,200.0,0.0,0.0,5.0,,,22823
Cooking Ugali 2kg,CoTR Kitchen,COT-COOUGA-0062,200.0,0.0,0.0,5.0,,,22824
Corkage Fee,CoTR Bar,COT-CORFEE-0063,500.0,0.0,0.0,5.0,,,22826
CoTR Water 1000ml,CoTR Bar,COT-COTWAT-0064,100.0,150.0,9.0,12.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Water-Bottle.webp,water,22827
CoTR Water 500ml,CoTR Bar,COT-COTWAT-0065,50.0,25.0,329.0,24.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/500ml-Water-Bottle.jpg,water,22828
County Brandy 250ml,CoTR Bar,COT-COUBRA-0066,300.0,240.0,0.0,4.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/County-Brandy-250ml.jpg,brandy,22829
County Brandy 750ml,CoTR Bar,COT-COUBRA-0067,1000.0,680.0,2.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/County-Brandy-750ml.webp,brandy,22830
Dawa,CoTR Kitchen,COT-DAW-0068,75.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/OIP-7.webp,,22831
Delmonte Mango Juice 1L,CoTR Bar,COT-DELMAN-0069,350.0,260.0,0.0,3.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Del-Monte-Mango-Juice.jpg,juice,22833
Delmonte Passion Juice 1L,CoTR Bar,COT-DELPAS-0070,350.0,260.0,2.0,3.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Del-Monte-Passion-Juice.jpg,juice,22834
Delmonte Apple 1L,CoTR Bar,COT-DELAPP-0071,350.0,260.0,3.0,3.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/download-3.webp,juice,22835
Delmonte Pineapple 1L,CoTR Bar,COT-DELPIN-0072,350.0,260.0,3.0,3.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/OIP-2.webp,juice,22837
Desperado,CoTR Bar,COT-DES-0073,400.0,320.0,6.0,6.0,,,22839
Drinking Chocolate Pot,CoTR Kitchen,COT-DRICHO-0074,100.0,50.0,6.0,5.0,,,22840
Drostdy hof Dry Red 750ml,CoTR Bar,COT-DROHOF-0075,1500.0,970.0,2.0,2.0,,red wine,22842
Drostdy hof Dry White750ml,CoTR Bar,COT-DROHOF-0076,1500.0,970.0,0.0,2.0,,red wine,22843
Dunhill by Double Switch,CoTR Bar,COT-DUNBYD-0077,600.0,450.0,2.0,3.0,,cigarette,22844
Dunhill by Embassy,CoTR Bar,COT-DUNBYE-0078,600.0,445.0,0.0,3.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/tipsy_dunhill_embassy_lights.jpg,cigarette,22845
Dunhill Double Switch (singles),CoTR Bar,COT-DUNDOU-0079,30.0,22.5,-4.0,10.0,,cigarette,22846
Dunhill Embassy (singles),CoTR Bar,COT-DUNEMB-0080,30.0,22.25,-2.0,10.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/dunhill.jpg,cigarette,22847
Fanta Black Currant 300ml,CoTR Bar,COT-FANBLA-0081,100.0,32.5,6.0,15.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Fanta-Black-Currant.jpg,soda,22848
Fanta Orange 300ml,CoTR Bar,COT-FANORA-0082,100.0,32.5,25.0,15.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Fanta-Orange-300ml.jpg,soda,22850
Fanta Passion 300ml,CoTR Bar,COT-FANPAS-0083,100.0,32.5,34.0,15.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Fanta-Passion-300ml.jpg,soda,22851
Fish,CoTR Kitchen,COT-FIS-0084,700.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/fish.jpeg,main dish,22852
Four Cousins Natural Sweet Red 750ml,CoTR Bar,COT-FOUCOU-0085,1500.0,991.0,1.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Four-Cousins-Natural-Sweet-Red-750ml.png,white wine,22854
Four Cousins Natural Sweet White 750ml,CoTR Bar,COT-FOUCOU-0086,1500.0,991.0,3.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Four-Cousins-Natural-Sweet-White.jpg,white wine,22855
Fried Egg,CoTR Kitchen,COT-FRIEGG-0087,60.0,20.0,33.0,10.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Omlette-Fried-Egg.png,snack,22856
Fruits,CoTR Kitchen,COT-FRU-0088,800.0,0.0,0.0,5.0,,,22857
Gilbey's Gin 250ml,CoTR Bar,COT-GILGIN-0089,700.0,436.0,-1.0,4.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Gilbeys-Gin-250ml.jpg,gin,22859
Gilbeys Gin 350ml,CoTR Bar,COT-GILGIN-0090,950.0,436.0,3.0,3.0,,,22860
Gilbey's Gin 750ml,CoTR Bar,COT-GILGIN-0091,1800.0,1300.0,2.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Gilbeys-Gin-750ml.jpg,gin,22861
Ginger Biscuits,Snack Bar,SNA-GINBIS-0092,10.0,5.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Ginger-Biscuits.jpg,snack,22863
Glass,CoTR Bar,COT-GLA-0093,100.0,0.0,0.0,5.0,,,22866
Goat Meat (1 kg),CoTR Kitchen,COT-GOAMEA-0094,1200.0,800.0,4.0,3.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Goat-Meat.jpg,main dish,22867
Goat Meat 1.5kgs,CoTR Kitchen,COT-GOAMEA-0095,1850.0,1200.0,0.0,5.0,"https://pos.cotr.co.ke/wp-content/uploads/2025/06/Goat.jpeg, https://pos.cotr.co.ke/wp-content/uploads/2025/06/Goat.jpeg",,22869
Goat Meat 1/2kg,CoTR Kitchen,COT-GOAMEA-0096,650.0,400.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Goat.jpeg,main dish,22871
Goat Meat 3/4kg,CoTR Kitchen,COT-GOAMEA-0097,1000.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Goat.jpeg,meat,22873
Gordon's Dry Gin 350ml,CoTR Bar,COT-GORDRY-0098,1450.0,950.0,0.0,4.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Gordons-Dry-Gin-350ml.jpg,gin,22875
Gordon's Dry Gin 750ml,CoTR Bar,COT-GORDRY-0099,2800.0,2100.0,0.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Gordons-Dry-Gin-750ml-scaled.jpg,gin,22876
Heineken Pure Malt Lager,CoTR Bar,COT-HEIPUR-0100,350.0,240.0,7.0,15.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Heineken-330ml.jpg,beer,22879
Hennessy Cognac 700ml,CoTR Bar,COT-HENCOG-0101,6500.0,5300.0,1.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Hennessy-Cognac-700ml.jpg,cognac,22880
Homelet Eggs,Uncategorized,UNC-HOMEGG-0102,200.0,0.0,0.0,5.0,,,22881
Honey,CoTR Bar,COT-HON-0103,80.0,30.0,0.0,3.0,,,22884
Hunter's Choice Whisky 250ml,CoTR Bar,COT-HUNCHO-0104,500.0,340.0,4.0,4.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Hunters-Choice-Whisky-250ml.jpg,whiskey,22885
Hunter's Choice Whisky 750ml,CoTR Bar,COT-HUNCHO-0105,1600.0,950.0,1.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Hunters-Choice-Whisky-750ml.png,whiskey,22886
Hunter's Dry Cider,CoTR Bar,COT-HUNDRY-0106,300.0,205.0,6.0,6.0,,cider,22887
Hunter's Gold,CoTR Bar,COT-HUNGOL-0107,300.0,205.0,6.0,5.0,,,22888
Jack Daniel's Whiskey 350ml,CoTR Bar,COT-JACDAN-0108,2500.0,1800.0,2.0,3.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Jack-Daniels-Whiskey-350ml.jpg,whiskey,22889
Jack Daniel's Whiskey 700ml,CoTR Bar,COT-JACDAN-0109,4300.0,3300.0,1.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Jack-Daniels-Whiskey-700ml.jpg,whiskey,22890
Jagermeister 700ml,CoTR Bar,COT-JAG700-0110,4000.0,2800.0,1.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Jagermeister-700ml.jpg,digestif,22891
Jagermeister tot,CoTR Bar,COT-JAGTOT-0111,200.0,0.0,0.0,5.0,,,22892
Jameson Whisky 350ml,CoTR Bar,COT-JAMWHI-0112,1800.0,1100.0,4.0,3.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Jameson-Whisky-350ml.jpg,whiskey,22893
Jameson Whisky 750ml,CoTR Bar,COT-JAMWHI-0113,3500.0,2400.0,2.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Jameson-Whisky-750ml.jpg,whiskey,22894
John Burr 1Litre,CoTR Bar,COT-JOHBUR-0114,2500.0,1900.0,2.0,1.0,,,22895
John Burr 750ml,CoTR Bar,COT-JOHBUR-0115,2100.0,1600.0,0.0,1.0,,,22896
Johnnie Walker Black Label 1l,CoTR Bar,COT-JOHWAL-0116,5000.0,3900.0,1.0,1.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Johnnie-Walker-Black-Label-1l.jpg,whiskey,22897
Johnnie Walker Black Label 250ml,CoTR Bar,COT-JOHWAL-0117,1700.0,1150.0,0.0,4.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Johnnie-Walker-Black-Label-250ml.jpg,whiskey,22898
Johnnie Walker Black Label 375ml,CoTR Bar,COT-JOHWAL-0118,2300.0,1720.0,1.0,3.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Johnnie-Walker-Black-Label-375ml.jpg,whiskey,22899
Johnnie Walker Black Label 750ml,CoTR Bar,COT-JOHWAL-0119,4300.0,3200.0,1.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/johnnie-walker-black-label-700ml.jpg,whiskey,22900
Johnnie Walker Red Label 250ml,CoTR Bar,COT-JOHWAL-0120,950.0,670.0,0.0,4.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Johnnie-Walker-Red-Label-250ml.webp,whiskey,22901
Johnnie Walker Red Label 375ml,CoTR Bar,COT-JOHWAL-0121,1450.0,950.0,3.0,3.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Johnnie-Walker-Red-Label-375ml.jpg,whiskey,22902
Johnnie Walker Red Label 750ml,CoTR Bar,COT-JOHWAL-0122,2500.0,1700.0,1.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Johnnie-Walker-Red-Label-750ml.jpg,whiskey,22903
Jose Cuervo tot,CoTR Bar,COT-JOSCUE-0123,200.0,0.0,0.0,5.0,,,22904
Kachumbari,CoTR Kitchen,COT-KAC-0124,100.0,50.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Kachumbari-1.jpg,salad,22906
Kenya Cane lemon & Ginger 750ml,CoTR Bar,COT-KENCAN-0125,1000.0,740.0,1.0,2.0,,,22909
Kenya Cane pineapple 250ml,CoTR Bar,COT-KENCAN-0126,350.0,275.0,1.0,4.0,,,22910
Kenya Cane pineapple 750ml,CoTR Bar,COT-KENCAN-0127,1000.0,700.0,3.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/download-7.webp,,22911
Kenya Cane Smooth 250ml,CoTR Bar,COT-KENCAN-0128,350.0,275.0,6.0,4.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Kenya-Cane-Smooth-250ml.jpg,cane spirit,22912
Kenya Cane Smooth 350ml,CoTR Bar,COT-KENCAN-0129,500.0,360.0,0.0,2.0,,Spirit,22913
Kenya Cane Smooth 750ml,CoTR Bar,COT-KENCAN-0130,1000.0,740.0,2.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Kenya-Cane-Smooth-750ml-e1748884646722.jpg,cane spirit,22914
Kienyeji Chicken (Full),CoTR Kitchen,COT-KIECHI-0131,1600.0,1000.0,3.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Kienyeji-Chicken-Full.jpg,main dish,22915
Kienyeji Chicken (Half),CoTR Kitchen,COT-KIECHI-0132,800.0,500.0,0.5,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Kienyeji-Chicken-Full.jpg,main dish,22917
KingFisher,CoTR Bar,COT-KIN-0133,300.0,195.0,8.0,6.0,,red wine,22919
Krest Bitter Lemon 300ml,CoTR Bar,COT-KREBIT-0134,100.0,32.5,28.0,15.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/KREST-300ML-BOTTLE.jpg,soda,22920
Lemon Tea cup,CoTR Kitchen,COT-LEMTEA-0135,50.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/OIP-1.webp,,22921
Lemonade,CoTR Bar,COT-LEM-0136,80.0,0.0,5.0,12.0,,,22923
Mandazi,CoTR Kitchen,COT-MAN-0137,30.0,15.0,30.0,20.0,,,22924
Manyatta Cider,CoTR Bar,COT-MANCID-0138,350.0,245.0,5.0,15.0,,cider,22926
Mara Moja,CoTR Bar,COT-MARMOJ-0139,20.0,0.0,34.0,10.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Mara-Moja.jpg,,22927
Martell Cognac 700ml,CoTR Bar,COT-MARCOG-0140,6500.0,5300.0,1.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Martell-Cognac-700ml.jpg,cognac,22928
Masala Tea Pot (l),CoTR Kitchen,COT-MASTEA-0141,0.0,0.0,0.0,5.0,,beverage,22929
Masala Tea Pot (s),CoTR Kitchen,COT-MASTEA-0142,0.0,0.0,0.0,5.0,,beverage,22931
Matchbox,CoTR Bar,COT-MAT-0143,10.0,0.0,29.0,10.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Kifaru-Match-Box-300-Sticks.jpg,,22933
Mbuzi choma 1/2,CoTR Kitchen,COT-MBUCHO-0144,650.0,400.0,0.0,5.0,,,22934
Mbuzi choma 1kg,CoTR Kitchen,COT-MBUCHO-0145,1200.0,800.0,0.0,5.0,,,22936
Mchicha/Amaranth,CoTR Kitchen,COT-MCH-0146,50.0,0.0,3.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Mchicha.jpg,vegetables,22938
Meat Lover's Pizza (l),CoTR Kitchen,COT-MEALOV-0147,0.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Meat-Lovers-Pizza.jpg,pizza,22940
Meat Lover's Pizza (s),CoTR Kitchen,COT-MEALOV-0148,0.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Meat-Lovers-Pizza.jpg,pizza,22942
Milk 200ml,CoTR Bar,COT-MIL200-0149,100.0,0.0,27.0,8.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/MILK.jpeg,,22944
Milk 500ml,CoTR Bar,COT-MIL500-0150,50.0,0.0,6.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/milk-small.jpeg,,22945
Monster,CoTR Bar,COT-MON-0151,300.0,0.0,0.0,2.0,,,22946
Mucho Mas Vino Blanco 750ml,CoTR Bar,COT-MUCMAS-0152,2000.0,0.0,2.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Mucho-Mas-Vino-Blanco-750ml-600x600-1.jpg,white wine,22947
Mucho Mas Vino Tinto 750ml,CoTR Bar,COT-MUCMAS-0153,2500.0,0.0,2.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Mucho-Mas-Vino-Tinto-750ml-scaled.png,red wine,22948
Mukimo,CoTR Kitchen,COT-MUK-0154,150.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Mukimo.jpg,side dish,22949
Novida,CoTR Bar,COT-NOV-0155,100.0,45.0,18.0,15.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Novida.jpg,,22951
Nuvita Biscuits,CoTR Bar,COT-NUVBIS-0156,10.0,0.0,0.0,5.0,,,22952
Omelette,CoTR Kitchen,COT-OME-0157,100.0,50.0,0.0,5.0,,,22953
Panadol Advanced,CoTR Bar,COT-PANADV-0158,20.0,0.0,1.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Panadol.jpg,,22955
Pancakes,CoTR Kitchen,COT-PAN-0159,50.0,20.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Pancakes.jpg,,22956
Pool game,Games,GAM-POOGAM-0160,20.0,0.0,0.0,5.0,,,22960
Popcorn,Snack Bar,SNA-POP-0161,20.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/popcorn.jpg,snack,22963
Red Bull 250ml,CoTR Bar,COT-REDBUL-0162,300.0,184.0,3.0,4.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Red-Bull-250ml.jpg,energy drink,22967
Rice,CoTR Kitchen,COT-RIC-0163,100.0,40.0,14.25,10.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Rice.jpg,side dish,22968
RisenSweet Tattoo Bubble Gum,Snack Bar,SNA-RISTAT-0164,0.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Tattoo-Bubble-Gum.jpg,snack,22969
Roasted Potatoes,CoTR Kitchen,COT-ROAPOT-0165,200.0,0.0,0.0,5.0,,,22972
